,GENECARDS,ID
1,KCNAB2,Q13303
2,CAMTA1,Q9Y6Y1
3,WDTC1,Q8N5D0
4,TMEM39B,Q9GZU3
5,MROH7-TTC4,A0A0A0MT08
6,MROH7-TTC4,F8WC02
7,FPGT-TNNI3K,A0A3B3ITB1
8,FPGT-TNNI3K,A6NHC7
9,FPGT-TNNI3K,E9PKE1
10,FPGT-TNNI3K,V9GXZ4
11,AGL,P35573
12,FDPS,P14324
13,SYT11,Q9BT88
14,CEP350,Q5VT06
15,KCTD3,Q9Y597
16,FAM149B1,Q96BN6
17,INPP5F,Q9Y2H2
18,LHPP,Q9H008
19,TKFC,Q3LXA3
20,RTN3,O95197
21,DPP3,Q9NY33
22,RBM4,Q9BWF3
23,NEU3,Q9UQ49
24,AAMDC,Q9H7C9
25,ABCG4,Q9H172
26,DNM1L,O00429
27,DIP2B,Q9P265
28,DGKA,P23743
29,SYT1,P21579
30,PLBD2,Q8NHP8
31,GLT1D1,Q96MS3
32,BORA,Q6PGQ7
33,CDC16,Q13042
34,LRFN5,Q96NI6
35,KLHDC1,Q8N7A1
36,KTN1,Q86UP2
37,KLC1,Q07866
38,CKMT1A,P12532
39,GALK2,Q01415
40,SNX1,Q13596
41,HACD3,Q9P035
42,SCAMP5,Q8TAC9
43,NEIL1,Q96FI4
44,PHKB,Q93100
45,PLA2G15,Q8NCC3
46,ZNRF1,Q8ND25
47,DYNLRB2,Q8TF09
48,JPH3,Q8WXH2
49,TUBG2,Q9NRH3
50,ACBD4,Q8NC06
51,ZNF554,Q86TJ5
52,RFXANK,O14593
53,UBA2,Q9UBT2
54,ZNF420,Q8TAQ5
55,ZNF880,Q6PDB4
56,SLC1A4,P43007
57,ZNF638,Q14966
58,PTPN18,Q99952
59,R3HDM1,Q15032
60,MBD5,Q9P267
61,PSMD14,O00487
62,GULP1,Q9UBP9
63,ABI2,Q9NYB9
64,EEF1B2,P24534
65,DNAJB2,P25686
66,ARMC9,Q7Z3E5
67,UBE2F-SCLY,H3BSR4
68,UBE2F-SCLY,H3BUI7
69,SNED1,Q8TER0
70,SNAP25,P60880
71,DSTN,P60981
72,BCAS4,Q8TDM0
73,PCBP3,P57721
74,TTC38,Q5R3I4
75,BRK1,Q8WUW1
76,GOLGA4,Q13439
77,C3orf14,Q9HBI5
78,CLDN11,O75508
79,ZNF639,Q9UID6
80,EIF2B5,Q13144
81,CHRD,Q9H2X0
82,VPS8,Q8N3P4
83,OPA1,O60313
84,GRK4,P32298
85,ART3,Q13508
86,COPS4,Q9BT78
87,METAP1,P53582
88,LARP1B,Q659C4
89,GLRB,P48167
90,KLHL2,O95198
91,PDCD6,O75340
92,COMMD10,Q9Y6G5
93,HSD17B4,P51659
94,CXXC5,Q7LFL8
95,SLC6A7,Q99884
96,CNOT6,Q9ULM6
97,PSMG3-AS1,Q96PY0
98,CDK13,Q14004
99,UBE2D4,Q9Y2X8
100,DBNL,Q9UJU6
101,CCM2,Q9BSQ5
102,SUMF2,Q8NBJ7
103,CRCP,O75575
104,FKBP6,O75344
105,GTF2I,P78347
106,DMTF1,Q9Y222
107,CFAP69,A5D8W1
108,BCAP29,Q9UHQ4
109,AGAP3,Q96P47
110,TNKS,O95271
111,BAALC,Q8WXS3
112,NSMCE2,Q96MF7
113,LY6E,Q16553
114,KDM4C,Q9H3R0
115,WNK2,Q9Y3S1
116,CERCAM,Q5T4B2
117,CACNA1B,Q00975
118,GK,P32189
119,UBA1,P22314
120,GPR173,Q9NS66
121,IGBP1,P78318
122,SLC9A6,Q92581
123,FHL1,Q13642
124,ATP6AP1,Q15904
125,TXLNGY,Q9BZA5
126,PHACTR4,Q8IZ21
127,RBBP4,Q09028
128,NASP,P49321
129,EFCAB7,A8K855
130,ACADM,P11310
131,NDUFS2,O75306
132,TSNAX-DISC1,C4P0D4
133,TSNAX-DISC1,C4P0D6
134,TSNAX-DISC1,C4P0D8
135,TSNAX-DISC1,Q9NRI2
136,DDX50,Q9BQ39
137,ATRNL1,Q5VV63
138,PLEKHA1,Q9HB21
139,PRR5L,Q6MZQ0
140,EXT2,Q93063
141,C11orf49,Q9H6J7
142,ACER3,Q9NUN7
143,FDX1,P10109
144,PPHLN1,Q8NEY8
145,ACTR6,Q9GZN1
146,TMEM263,Q8WUH6
147,CUX2,O14529
148,TCTN2,Q96GX1
149,GPHN,Q9NQX3
150,CYFIP1,Q7L576
151,UBFD1,O14562
152,CHD9,Q3L8U1
153,WWP2,O00308
154,IST1,P53990
155,KAT7,O95251
156,LUC7L3,O95232
157,RAD51C,O43502
158,TBCD,Q9BTW9
159,PIK3C3,Q8NEB9
160,TNFRSF11A,Q9Y6Q6
161,ANKRD24,Q8TF21
162,CATSPERG,Q6ZRH7
163,MAP3K10,Q02779
164,HIF3A,Q9Y2N7
165,CACNG7,P62955
166,DYNC2LI1,Q8TCX1
167,ACYP2,P14621
168,CTNNA2,P26232
169,ELMOD3,Q96FG2
170,PTCD3,Q96EY7
171,GCC2,Q8IWJ2
172,KIF5C,O60282
173,SLC4A10,Q6U841
174,PIKFYVE,Q9Y2I7
175,GIGYF2,Q6Y7W6
176,PANK2,Q9BZ23
177,IFT52,Q9Y366
178,SYS1-DBNDD2,F2Z2A3
179,SYS1-DBNDD2,H3BUS1
180,MED15,Q96RN5
181,L3MBTL2,Q969R5
182,C3orf35,Q8IVJ8
183,ZNF621,Q6ZSS3
184,DNAH1,Q9P2D7
185,CACNA2D3,Q8IZS8
186,SYNPR,Q8TBG9
187,CHMP2B,Q9UQN3
188,GAP43,P17677
189,LARP7,Q4G0J3
190,INTU,Q9ULD6
