"","x"
"274","MTSS1L"
"275","USP32P2"
"276","PQLC1"
"277","PCBP1-AS1"
"278","PCBP1-AS1"
"279","LOC220729"
"280","LOC100506746"
"281","LOC401320"
"282","RFWD2"
"283","PRH1-PRR4"
"284","LINC00665"
"285","NUP50-AS1"
"286","BHLHE40-AS1"
"287","SCOC-AS1"
"288","TCEB1"
"289","LOC100133669"
"290","LOC283856"
"291","FLJ33534"
"292","THUMPD3-AS1"
"293","ENTPD3-AS1"
"294","LINC00882"
"295","LOC220729"
"296","NR2F1-AS1"
"297","APTR"
"298","TCEB1"
"299","TP73-AS1"
"300","ENTPD3-AS1"
"301","TCEB1"
"302","TMEM55A"
"303","TMEM72-AS1"
"304","LOC441666"
"305","TMEM72-AS1"
"306","PRH1-PRR4"
"307","LINC00426"
"308","SPG20"
"309","TPTE2P5"
"310","LINC00282"
"311","LOC283856"
"312","USP32P2"
"313","MRPL45P2"
"314","PQLC1"
"315","HPN-AS1"
"316","LINC00665"
"317","TSSC1"
"318","LOC100506474"
"319","PAK7"
"320","NUP50-AS1"
"321","FGD5-AS1"
"322","KIAA1524"
"323","LOC553103"
"324","MIR548O2"
"325","TMEM55A"
"326","VLDLR-AS1"
"327","NR2F2-AS1"
"328","MTSS1L"
"329","AMZ2P1"
"330","TP53TG1"
"331","MGC72080"
"332","RPL23AP53"
"333","VLDLR-AS1"
"334","PLA2G16"
"335","LOC146880"
"336","TP53TG1"
"337","C15orf38-AP3S2"
"338","USP32P2"
"339","PCBP1-AS1"
"340","LOC401320"
"341","FAM96A"
"342","VWA9"
"343","FAM65C"
"344","ENTPD3-AS1"
"345","GUSBP2"
"346","DLEU2"
"347","LOC146880"
"348","ALS2CR12"
"349","LINC00320"
"350","GTF2IP1"
"351","GTF2IP1"
"352","GTF2IP1"
"353","LY86-AS1"
"354","LINC00951"
"355","TSSC1"
"356","NUP50-AS1"
"357","LYPLAL1-AS1"
"358","PRKRIR"
"359","LINC00665"
"360","C2orf61"
"361","LOC654342"
"362","GUSBP9"
"363","LOC100288181"
"364","LOC286297"
"365","LOC283856"
"366","FLJ33534"
"367","LOC100506474"
"368","TMEM206"
"369","ENTPD1-AS1"
"370","CCDC53"
"371","RAD51L3-RFFL"
"372","LOC100131655"
"373","HPN-AS1"
"374","THUMPD3-AS1"
"375","LINC00882"
"376","SDHAP1"
"377","LINC01184"
"378","KIAA0368"
"379","MRPL45P2"
"380","DFNB31"
"381","PAK7"
"382","HIATL2"
"383","LOC653513"
"384","GTF2IP1"
"385","LOC643339"
"386","TLDC1"
"387","AES"
"388","FLJ33534"
"389","C8orf34-AS1"
"390","FAM129B"
"391","SEP15"
"392","PRH1-PRR4"
"393","EFTUD1"
"394","FLJ33534"
"395","LOC654342"
"396","FAM58A"
"397","ZCCHC11"
"398","LOC441666"
"399","KDELC2"
"400","PRH1-PRR4"
"401","GS1-124K5.11"
"402","KGFLP2"
"403","LOC286297"
"404","CXorf36"
"405","ZCCHC11"
"406","LARGE"
"407","NUP50-AS1"
"408","TP53TG1"
"409","IKBKAP"
"410","TCEB2"
"411","MTSS1L"
"412","LINC00665"
"413","TSSC1"
"414","PCBP1-AS1"
"415","THUMPD3-AS1"
"416","LOC283856"
"417","KIAA1644"
"418","TP53TG1"
"419","SEP15"
"420","METTL10"
"421","SUV420H1"
"422","LOC283856"
"423","FLJ33534"
