"","GENECARDS","ENTRY-NAME"
"537","NNT","NNTM_HUMAN"
"538","THBS4","TSP4_HUMAN"
"92.1","COMMD10","COMDA_HUMAN"
"93.1","HSD17B4","DHB4_HUMAN"
"539","UBE2B","UBE2B_HUMAN"
"540","CTNNA1","CTNA1_HUMAN"
"541","IK","RED_HUMAN"
"542","GRIA1","GRIA1_HUMAN"
"543","CPLX2","CPLX2_HUMAN"
"96.1","CNOT6","CNOT6_HUMAN"
"544","UBR2","UBR2_HUMAN"
"545","ABCC10","MRP7_HUMAN"
"546","EFHC1","EFHC1_HUMAN"
"418.1","RWDD2A","RWD2A_HUMAN"
"547","ORC3","ORC3_HUMAN"
"548","TSTD3","TSTD3_HUMAN"
"549","GRIK2","GRIK2_HUMAN"
"550","NT5DC1","NT5D1_HUMAN"
"551","C1GALT1","C1GLT_HUMAN"
"552","AVL9","AVL9_HUMAN"
"553","RALA","RALA_HUMAN"
"554","LANCL2","LANC2_HUMAN"
"555","ZNF138","ZN138_HUMAN"
"556","POM121","P121A_HUMAN"
"557","CROT","OCTC_HUMAN"
"558","ARPC1B","ARC1B_HUMAN"
"558.1","ARPC1B","ARC1B_HUMAN"
"559","BUD31","BUD31_HUMAN"
"560","AP4M1","AP4M1_HUMAN"
"251.1","FAM185A","F185A_HUMAN"
"561","KMT2E","KMT2E_HUMAN"
"562","ST7","ST7_HUMAN"
"563","AHCYL2","SAHH3_HUMAN"
"564","TUSC3","TUSC3_HUMAN"
"565","PPP2R2A","2ABA_HUMAN"
"203.1","UBE2V2","UB2V2_HUMAN"
"566","CSPP1","CSPP1_HUMAN"
"567","PKIA","IPKA_HUMAN"
"568","RIPK2","RIPK2_HUMAN"
"569","DENND3","DEND3_HUMAN"
"570","RIC1","RIC1_HUMAN"
"207.1","FOCAD","FOCAD_HUMAN"
"571","CHMP5","CHMP5_HUMAN"
"572","ANKRD18B","AN18B_HUMAN"
"573","TRMT10B","TM10B_HUMAN"
"574","HABP4","HABP4_HUMAN"
"575","LHX2","LHX2_HUMAN"
"576","NTNG2","NTNG2_HUMAN"
"577","CCDC183","CC183_HUMAN"
"362.1","CDK16","CDK16_HUMAN"
"362.2","CDK16","CDK16_HUMAN"
"432.1","EPHX4","EPHX4_HUMAN"
"578","TMCC2","TMCC2_HUMAN"
"579","GALNT2","GALT2_HUMAN"
"580","WDR64","WDR64_HUMAN"
"277.2","MLLT10","AF10_HUMAN"
"581","CCNY","CCNY_HUMAN"
"137.1","ATRNL1","ATRN1_HUMAN"
"18.2","LHPP","LHPP_HUMAN"
"582","DNAJC24","DJC24_HUMAN"
"583","SDHAF2","SDHF2_HUMAN"
"583.1","SDHAF2","SDHF2_HUMAN"
"584","SPCS2","SPCS2_HUMAN"
"585","EED","EED_HUMAN"
"586","TBK1","TBK1_HUMAN"
"587","YLPM1","YLPM1_HUMAN"
"299.5","SNRPN","RSMN_HUMAN"
"588","CHRNA7","ACHA7_HUMAN"
"589","CORO2B","COR2B_HUMAN"
"590","ZNF720","ZN720_HUMAN"
"591","LPCAT2","PCAT2_HUMAN"
"592","BANP","BANP_HUMAN"
"592.1","BANP","BANP_HUMAN"
"59.5","R3HDM1","R3HD1_HUMAN"
"593","UBR3","UBR3_HUMAN"
"594","CREB1","CREB1_HUMAN"
"67.2","UBE2F-SCLY","H3BSR4_HUMAN"
"68.2","UBE2F-SCLY","H3BUI7_HUMAN"
"595","SYNDIG1","SYNG1_HUMAN"
"596","DDX27","DDX27_HUMAN"
"82.3","VPS8","VPS8_HUMAN"
"597","AP1AR","AP1AR_HUMAN"
"598","SLC25A48","S2548_HUMAN"
"246.1","CYFIP2","CYFP2_HUMAN"
"599","FAM120B","F120B_HUMAN"
"600","GARS","GARS_HUMAN"
"103.1","CRCP","RPC9_HUMAN"
"104.1","FKBP6","FKBP6_HUMAN"
"601","RINT1","RINT1_HUMAN"
"602","ATP6V1F","VATF_HUMAN"
"359.1","CPQ","CBPQ_HUMAN"
"603","SPIN1","SPIN1_HUMAN"
"115.1","WNK2","WNK2_HUMAN"
"361.1","INVS","INVS_HUMAN"
"604","FRMPD4","FRPD4_HUMAN"
"605","LMNA","LMNA_HUMAN"
"606","C11orf80","TO6BL_HUMAN"
"607","HADHB","ECHB_HUMAN"
"385.1","SMDT1","EMRE_HUMAN"
"608","PRKCZ","KPCZ_HUMAN"
"609","AZIN2","AZIN2_HUMAN"
"610","PRKACB","KAPCB_HUMAN"
"611","REEP3","REEP3_HUMAN"
"447.1","PWWP2B","PWP2B_HUMAN"
"612","C11orf58","SMAP_HUMAN"
"370.1","KCNA6","KCNA6_HUMAN"
"613","NCKAP1L","NCKPL_HUMAN"
"614","PHF11","PHF11_HUMAN"
"615","ARHGEF7","ARHG7_HUMAN"
"616","CHD2","CHD2_HUMAN"
"617","SGF29","SGF29_HUMAN"
"618","NT5M","NT5M_HUMAN"
"310.2","RHOT1","MIRO1_HUMAN"
"619","ASPSCR1","ASPC1_HUMAN"
"620","PPP1CB","PP1B_HUMAN"
"621","NCK2","NCK2_HUMAN"
"622","SLC20A1","S20A1_HUMAN"
"623","DPP10","DPP10_HUMAN"
"624","DDX18","DDX18_HUMAN"
"625","DYNC1I2","DC1I2_HUMAN"
"626","ACSS2","ACSA_HUMAN"
"627","OGG1","OGG1_HUMAN"
"628","GRAMD1C","ASTRC_HUMAN"
"84.2","GRK4","GRK4_HUMAN"
"263.1","TRMT44","TRM44_HUMAN"
"629","NWD2","NWD2_HUMAN"
"630","WDR19","WDR19_HUMAN"
"631","PAICS","PUR6_HUMAN"
"533.1","CPE","CBPE_HUMAN"
"632","WWC2","WWC2_HUMAN"
"107.1","CFAP69","CFA69_HUMAN"
"633","VPS50","VPS50_HUMAN"
"634","ARMC10","ARM10_HUMAN"
"202.2","SPIDR","SPIDR_HUMAN"
"566.1","CSPP1","CSPP1_HUMAN"
"115.2","WNK2","WNK2_HUMAN"
"635","PTPDC1","PTPC1_HUMAN"
"636","TARDBP","TADBP_HUMAN"
"637","MAST2","MAST2_HUMAN"
"130.1","ACADM","ACADM_HUMAN"
"638","POU2F1","PO2F1_HUMAN"
"639","FBXO28","FBX28_HUMAN"
"276.1","AKR1C1","AK1C1_HUMAN"
"640","SYT9","SYT9_HUMAN"
"641","DYNC2H1","DYHC2_HUMAN"
"642","NTM","NTRI_HUMAN"
"643","TMEM117","TM117_HUMAN"
"644","DYNLL1","DYL1_HUMAN"
"645","PCCA","PCCA_HUMAN"
"646","RNF31","RNF31_HUMAN"
"647","MIPOL1","MIPO1_HUMAN"
"648","KIAA0586","TALD3_HUMAN"
"649","PSEN1","PSN1_HUMAN"
"650","VASH1","VASH1_HUMAN"
"37.1","KLC1","KLC1_HUMAN"
"651","RAB8B","RAB8B_HUMAN"
"652","ARIH1","ARI1_HUMAN"
"653","WHAMM","WHAMM_HUMAN"
"654","DDX19A","DD19A_HUMAN"
"655","XAF1","XAF1_HUMAN"
"311.1","WIPF2","WIPF2_HUMAN"
"49.1","TUBG2","TBG2_HUMAN"
"495.1","CCDC130","CC130_HUMAN"
"656","KMT2B","KMT2B_HUMAN"
"319.4","FAM228B","F228B_HUMAN"
"657","TTC27","TTC27_HUMAN"
"402.1","RHOQ","RHOQ_HUMAN"
"658","ACTR3","ARP3_HUMAN"
"659","ARL6IP6","AR6P6_HUMAN"
"62.2","GULP1","GULP1_HUMAN"
"64.1","EEF1B2","EF1B_HUMAN"
"67.3","UBE2F-SCLY","H3BSR4_HUMAN"
"68.3","UBE2F-SCLY","H3BUI7_HUMAN"
"660","PHF20","PHF20_HUMAN"
"516.1","FAM209B","F209B_HUMAN"
"661","EDN3","EDN3_HUMAN"
"662","PPARA","PPARA_HUMAN"
"663","LMCD1","LMCD1_HUMAN"
"242.2","PDCD6IP","PDC6I_HUMAN"
"664","SMIM20","SIM20_HUMAN"
"665","ATP10D","AT10D_HUMAN"
"666","ADGRL3","AGRL3_HUMAN"
"667","FAM47E-STBD1","D6RA91_HUMAN"
"668","FAM47E-STBD1","F6W5V1_HUMAN"
"531.2","KIAA1109","K1109_HUMAN"
"669","C4orf33","CD033_HUMAN"
"191.1","NDUFS4","NDUS4_HUMAN"
"192.1","ZFYVE16","ZFY16_HUMAN"
"670","CKMT2","KCRS_HUMAN"
"671","DAAM2","DAAM2_HUMAN"
"672","FAM135A","F135A_HUMAN"
"350.1","RNF217","RN217_HUMAN"
"673","UTRN","UTRO_HUMAN"
"674","IQCE","IQCE_HUMAN"
"551.1","C1GALT1","C1GLT_HUMAN"
"552.1","AVL9","AVL9_HUMAN"
"675","ANLN","ANLN_HUMAN"
"352.1","RABGEF1","RABX5_HUMAN"
"354.2","DYNC1I1","DC1I1_HUMAN"
"108.1","BCAP29","BAP29_HUMAN"
"676","PTPRZ1","PTPRZ_HUMAN"
"677","NUP205","NU205_HUMAN"
"254.1","PPP3CC","PP2BC_HUMAN"
"678","HMBOX1","HMBX1_HUMAN"
"679","TMEM67","MKS3_HUMAN"
"680","INTS8","INT8_HUMAN"
"205.1","NDUFAF6","NDUF6_HUMAN"
"681","HGH1","HGH1_HUMAN"
"364.1","COL4A5","CO4A5_HUMAN"
"682","ZSWIM8","ZSWM8_HUMAN"
"683","SLCO1C1","SO1C1_HUMAN"
"684","MAP4K4","M4K4_HUMAN"
"58.1","PTPN18","PTN18_HUMAN"
"685","CARF","CARTF_HUMAN"
"686","RAMP1","RAMP1_HUMAN"
"687","PLCB4","PLCB4_HUMAN"
"688","ABCG1","ABCG1_HUMAN"
"689","ATXN10","ATX10_HUMAN"
"690","PLS1","PLSI_HUMAN"
"87.3","METAP1","MAP11_HUMAN"
"691","KPNA5","IMA6_HUMAN"
"104.2","FKBP6","FKBP6_HUMAN"
"692","EXOC4","EXOC4_HUMAN"
"693","RALYL","RALYL_HUMAN"
"569.1","DENND3","DEND3_HUMAN"
"694","SMARCA2","SMCA2_HUMAN"
"695","MRRF","RRFM_HUMAN"
"696","FAAH2","FAAH2_HUMAN"
"697","MTM1","MTM1_HUMAN"
"421.1","CROCC","CROCC_HUMAN"
"698","RGL1","RGL1_HUMAN"
"699","PLA2G4A","PA24A_HUMAN"
"700","CNIH3","CNIH3_HUMAN"
"701","EDRF1","EDRF1_HUMAN"
"702","MDM2","MDM2_HUMAN"
"29.3","SYT1","SYT1_HUMAN"
"703","METAP2","MAP2_HUMAN"
"704","NEDD1","NEDD1_HUMAN"
"463.1","ANO4","ANO4_HUMAN"
"705","RIC8B","RIC8B_HUMAN"
"706","ZNF268","ZN268_HUMAN"
"707","WASF3","WASF3_HUMAN"
"708","SERP2","SERP2_HUMAN"
"709","AKAP6","AKAP6_HUMAN"
"34.4","LRFN5","LRFN5_HUMAN"
"710","ACTR10","ARP10_HUMAN"
"711","UNC45A","UN45A_HUMAN"
"712","RABEP1","RABE1_HUMAN"
"713","TLK2","TLK2_HUMAN"
"714","SMCHD1","SMHD1_HUMAN"
"715","PLEKHH2","PKHH2_HUMAN"
"716","C2orf15","CB015_HUMAN"
"717","PTPN4","PTN4_HUMAN"
"685.1","CARF","CARTF_HUMAN"
"718","ACTR5","ARP5_HUMAN"
"719","RTEL1-TNFRSF6B","D6RA96_HUMAN"
"720","PCNT","PCNT_HUMAN"
"721","MGAT3","MGAT3_HUMAN"
"722","ADSL","PUR8_HUMAN"
"723","NISCH","NISCH_HUMAN"
"332.3","STXBP5L","STB5L_HUMAN"
"724","USP13","UBP13_HUMAN"
"725","ARFIP1","ARFP1_HUMAN"
"726","WDR17","WDR17_HUMAN"
"340.1","NDUFS6","NDUS6_HUMAN"
"727","SIMC1","SIMC1_HUMAN"
"728","HDAC9","HDAC9_HUMAN"
"729","PPIA","PPIA_HUMAN"
"678.1","HMBOX1","HMBX1_HUMAN"
"202.3","SPIDR","SPIDR_HUMAN"
"679.1","TMEM67","MKS3_HUMAN"
"216.1","OSBPL9","OSBL9_HUMAN"
"730","TBC1D12","TBC12_HUMAN"
"283.2","MRPL48","RM48_HUMAN"
"731","SPATA13","SPT13_HUMAN"
"732","TRMT61A","TRM61_HUMAN"
"733","KNSTRN","SKAP_HUMAN"
"734","TADA2A","TAD2A_HUMAN"
"735","CEP95","CEP95_HUMAN"
"382.1","ARMC6","ARMC6_HUMAN"
"736","NCAN","NCAN_HUMAN"
"737","TTLL4","TTLL4_HUMAN"
"689.1","ATXN10","ATX10_HUMAN"
"412.1","ARIH2","ARI2_HUMAN"
"738","CEP44","CEP44_HUMAN"
"739","KLKB1","KLKB1_HUMAN"
"740","ADAM9","ADAM9_HUMAN"
"741","XKR9","XKR9_HUMAN"
"742","DNM1","DYN1_HUMAN"
"743","PRRC2B","PRC2B_HUMAN"
"744","CMPK1","KCY_HUMAN"
"745","SGIP1","SGIP1_HUMAN"
"746","LRRC7","LRRC7_HUMAN"
"747","KIF1BP","KBP_HUMAN"
"748","SMC3","SMC3_HUMAN"
"749","PDHX","ODPX_HUMAN"
"370.2","KCNA6","KCNA6_HUMAN"
"750","ETNK1","EKI1_HUMAN"
"751","ANO6","ANO6_HUMAN"
"407.1","SPATS2","SPAS2_HUMAN"
"752","USP15","UBP15_HUMAN"
"753","ZDHHC17","ZDH17_HUMAN"
"754","NOC4L","NOC4L_HUMAN"
"755","PAN3","PAN3_HUMAN"
"756","NBEA","NBEA_HUMAN"
"757","SUGT1","SGT1_HUMAN"
"758","GNG2","GBG2_HUMAN"
"36.1","KTN1","KTN1_HUMAN"
"759","RCN2","RCN2_HUMAN"
"760","FAM234A","F234A_HUMAN"
"761","NKD1","NKD1_HUMAN"
"762","SYCE1L","SYC1L_HUMAN"
"763","ARSG","ARSG_HUMAN"
"764","MYO15B","MY15B_HUMAN"
"765","BAIAP2","BAIP2_HUMAN"
"158.1","TBCD","TBCD_HUMAN"
"766","EMILIN2","EMIL2_HUMAN"
"767","PRKCSH","GLU2B_HUMAN"
"768","COLGALT1","GT251_HUMAN"
"769","ZNF90","ZNF90_HUMAN"
"497.1","ZNF254","ZN254_HUMAN"
"770","FXYD7","FXYD7_HUMAN"
"771","MARK4","MARK4_HUMAN"
"772","ZNF8","ZNF8_HUMAN"
"773","RAB10","RAB10_HUMAN"
"168.1","CTNNA2","CTNA2_HUMAN"
"774","RANBP2","RBP2_HUMAN"
"593.1","UBR3","UBR3_HUMAN"
"775","PDK1","PDK1_HUMAN"
"174.1","PIKFYVE","FYV1_HUMAN"
"776","CPS1","CPSM_HUMAN"
"69.1","SNED1","SNED1_HUMAN"
"176.2","PANK2","PANK2_HUMAN"
"70.3","SNAP25","SNP25_HUMAN"
"71.1","DSTN","DEST_HUMAN"
"513.1","KIZ","KIZ_HUMAN"
"777","RNF114","RN114_HUMAN"
"778","INPP5J","PI5PA_HUMAN"
"779","ARPC4-TTLL3","A0A0A6YYG9_HUMAN"
"780","ARPC4-TTLL3","F8WCF6_HUMAN"
"781","ARPC4-TTLL3","F8WE39_HUMAN"
"782","ARPC4-TTLL3","H7C0A3_HUMAN"
"783","TSEN2","SEN2_HUMAN"
"182.1","C3orf35","APRG1_HUMAN"
"784","ACKR2","ACKR2_HUMAN"
"244.1","PCCB","PCCB_HUMAN"
"785","ZBTB38","ZBT38_HUMAN"
"786","SERPINI1","NEUS_HUMAN"
"787","RPL35A","RL35A_HUMAN"
"84.3","GRK4","GRK4_HUMAN"
"788","ANXA3","ANXA3_HUMAN"
"789","PDLIM5","PDLI5_HUMAN"
"790","METTL14","MET14_HUMAN"
"791","NAA15","NAA15_HUMAN"
"725.1","ARFIP1","ARFP1_HUMAN"
"343.1","SLC12A2","S12A2_HUMAN"
"792","SQSTM1","SQSTM_HUMAN"
"793","FBXO9","FBX9_HUMAN"
"390.1","SDHAF4","SDHF4_HUMAN"
"249.1","BCKDHB","ODBB_HUMAN"
"794","AIG1","AIG1_HUMAN"
"558.2","ARPC1B","ARC1B_HUMAN"
"561.1","KMT2E","KMT2E_HUMAN"
"565.1","PPP2R2A","2ABA_HUMAN"
"795","TACC1","TACC1_HUMAN"
"740.1","ADAM9","ADAM9_HUMAN"
"205.2","NDUFAF6","NDUF6_HUMAN"
"796","UHRF2","UHRF2_HUMAN"
"797","C9orf85","CI085_HUMAN"
"798","GALNT12","GLT12_HUMAN"
"799","MAGED1","MAGD1_HUMAN"
"696.1","FAAH2","FAAH2_HUMAN"
"800","DNM3","DYN3_HUMAN"
"801","SFXN2","SFXN2_HUMAN"
"647.1","MIPOL1","MIPO1_HUMAN"
"300.2","APBA2","APBA2_HUMAN"
"802","LAMA3","LAMA3_HUMAN"
"161.1","ANKRD24","ANR24_HUMAN"
"497.2","ZNF254","ZN254_HUMAN"
"803","BCKDHA","ODBA_HUMAN"
"804","TTC7A","TTC7A_HUMAN"
"76.1","GOLGA4","GOGA4_HUMAN"
"550.1","NT5DC1","NT5D1_HUMAN"
"805","PILRB","PILRB_HUMAN"
"806","MAL2","MAL2_HUMAN"
"807","PAK3","PAK3_HUMAN"
"808","UBE4B","UBE4B_HUMAN"
"809","THRAP3","TR150_HUMAN"
"610.1","PRKACB","KAPCB_HUMAN"
"810","PTBP2","PTBP2_HUMAN"
"11.1","AGL","GDE_HUMAN"
"811","RAP1A","RAP1A_HUMAN"
"812","SLC22A15","S22AF_HUMAN"
"813","NBPF20","NBPFK_HUMAN"
"814","PPOX","PPOX_HUMAN"
"131.1","NDUFS2","NDUS2_HUMAN"
"815","TOR1AIP1","TOIP1_HUMAN"
"816","CSGALNACT2","CGAT2_HUMAN"
"817","MYRF","MYRF_HUMAN"
"818","PACS1","PACS1_HUMAN"
"224.1","PAAF1","PAAF1_HUMAN"
"224.2","PAAF1","PAAF1_HUMAN"
"819","ERC1","RB6I2_HUMAN"
"820","ATF7IP","MCAF1_HUMAN"
"821","MRPS35","RT35_HUMAN"
"822","TMTC3","TMTC3_HUMAN"
"823","FBXW8","FBXW8_HUMAN"
"824","BRCA2","BRCA2_HUMAN"
"467.1","FAM124A","F124A_HUMAN"
"825","TPP2","TPP2_HUMAN"
"826","FAM177A1","F177A_HUMAN"
"36.2","KTN1","KTN1_HUMAN"
"827","TMEM260","TM260_HUMAN"
"828","ARID4A","ARI4A_HUMAN"
"829","FUT8","FUT8_HUMAN"
"830","MARK3","MARK3_HUMAN"
"831","ZFYVE19","ANCHR_HUMAN"
"832","TCF12","HTF4_HUMAN"
"833","MAP2K5","MP2K5_HUMAN"
"834","ADAMTSL3","ATL3_HUMAN"
"835","TSC2","TSC2_HUMAN"
"836","SH2B1","SH2B1_HUMAN"
"837","ZFP1","ZFP1_HUMAN"
"838","CDH13","CAD13_HUMAN"
"839","NECAB2","NECA2_HUMAN"
"840","GGNBP2","GGNB2_HUMAN"
"841","RUNDC3A","RUN3A_HUMAN"
"488.1","NPEPPS","PSA_HUMAN"
"842","TANC2","TANC2_HUMAN"
"843","VAPA","VAPA_HUMAN"
"844","FHOD3","FHOD3_HUMAN"
"845","GPI","G6PI_HUMAN"
"846","TBCB","TBCB_HUMAN"
"847","CYP2G1P","C2G1P_HUMAN"
"848","POLD1","DPOD1_HUMAN"
"849","ZNF512","ZN512_HUMAN"
"850","LBH","LBH_HUMAN"
"850.1","LBH","LBH_HUMAN"
"851","CAMKMT","CMKMT_HUMAN"
"852","ACTR2","ARP2_HUMAN"
"171.1","GCC2","GCC2_HUMAN"
"853","UBXN4","UBXN4_HUMAN"
"659.1","ARL6IP6","AR6P6_HUMAN"
"854","DNAJC10","DJC10_HUMAN"
"855","CRLS1","CRLS1_HUMAN"
"856","CFAP61","CFA61_HUMAN"
"595.1","SYNDIG1","SYNG1_HUMAN"
"857","PYGB","PYGB_HUMAN"
"858","RBM11","RBM11_HUMAN"
"859","BACE2","BACE2_HUMAN"
"860","MX1","MX1_HUMAN"
"861","SFI1","SFI1_HUMAN"
"722.1","ADSL","PUR8_HUMAN"
"862","SLMAP","SLMAP_HUMAN"
"862.1","SLMAP","SLMAP_HUMAN"
"863","NCK1","NCK1_HUMAN"
"786.1","SERPINI1","NEUS_HUMAN"
"262.2","PIGX","PIGX_HUMAN"
"864","LRCH3","LRCH3_HUMAN"
"337.1","TBC1D19","TBC19_HUMAN"
"339.1","MOB1B","MOB1B_HUMAN"
"788.1","ANXA3","ANXA3_HUMAN"
"865","SEC24B","SC24B_HUMAN"
"190.1","INTU","INTU_HUMAN"
"88.3","LARP1B","LAR1B_HUMAN"
"866","MGST2","MGST2_HUMAN"
"191.2","NDUFS4","NDUS4_HUMAN"
"95.1","SLC6A7","SC6A7_HUMAN"
"247.1","RUFY1","RUFY1_HUMAN"
"248.1","PI16","PI16_HUMAN"
"348.1","ANKRD6","ANKR6_HUMAN"
"867","STK31","STK31_HUMAN"
"600.1","GARS","GARS_HUMAN"
"868","ZSCAN21","ZSC21_HUMAN"
"869","VPS37A","VP37A_HUMAN"
"870","ADAM28","ADA28_HUMAN"
"871","ELP3","ELP3_HUMAN"
"872","FZD3","FZD3_HUMAN"
"566.2","CSPP1","CSPP1_HUMAN"
"873","GLIPR2","GAPR1_HUMAN"
"603.1","SPIN1","SPIN1_HUMAN"
"798.1","GALNT12","GLT12_HUMAN"
"874","GSN","GELS_HUMAN"
"116.3","CERCAM","GT253_HUMAN"
"875","CCDC22","CCD22_HUMAN"
"875.1","CCDC22","CCD22_HUMAN"
"876","STARD8","STAR8_HUMAN"
"877","SH3BGRL","SH3L1_HUMAN"
"878","CENPI","CENPI_HUMAN"
"879","NSDHL","NSDHL_HUMAN"
"880","VBP1","PFD3_HUMAN"
"18.3","LHPP","LHPP_HUMAN"
"881","GLIPR1L2","GRPL2_HUMAN"
"146.2","TMEM263","TM263_HUMAN"
"882","FLYWCH1","FWCH1_HUMAN"
"380.1","MGAT5B","MGT5B_HUMAN"
"715.1","PLEKHH2","PKHH2_HUMAN"
"883","MAP2","MTAP2_HUMAN"
"884","ANO7","ANO7_HUMAN"
"885","DYNLRB1","DLRB1_HUMAN"
"886","DLGAP4","DLGP4_HUMAN"
"887","TCAIM","TCAIM_HUMAN"
"888","ESYT3","ESYT3_HUMAN"
"674.1","IQCE","IQCE_HUMAN"
"553.1","RALA","RALA_HUMAN"
"104.3","FKBP6","FKBP6_HUMAN"
"603.2","SPIN1","SPIN1_HUMAN"
"425.1","MANEAL","MANEL_HUMAN"
"889","CDC7","CDC7_HUMAN"
"890","TEX26","TEX26_HUMAN"
"309.1","SENP3-EIF4A1","A0A087X0R7_HUMAN"
"51.1","ZNF554","ZN554_HUMAN"
"242.3","PDCD6IP","PDC6I_HUMAN"
"891","ABTB1","ABTB1_HUMAN"
"533.2","CPE","CBPE_HUMAN"
"892","KHDRBS3","KHDR3_HUMAN"
"811.1","RAP1A","RAP1A_HUMAN"
"893","UVRAG","UVRAG_HUMAN"
"894","ARHGEF12","ARHGC_HUMAN"
"894.1","ARHGEF12","ARHGC_HUMAN"
"895","PHC1","PHC1_HUMAN"
"896","RBMS2","RBMS2_HUMAN"
"484.1","HS3ST2","HS3S2_HUMAN"
"897","ADCY7","ADCY7_HUMAN"
"898","KIAA1328","K1328_HUMAN"
"899","MAPK4","MK04_HUMAN"
"54.2","ZNF420","ZN420_HUMAN"
"857.1","PYGB","PYGB_HUMAN"
"900","ARFGAP1","ARFG1_HUMAN"
"76.2","GOLGA4","GOGA4_HUMAN"
"901","GMPS","GUAA_HUMAN"
"630.1","WDR19","WDR19_HUMAN"
"902","GUSBP1","GUSP1_HUMAN"
"903","C5orf22","CE022_HUMAN"
"904","TCERG1","TCRG1_HUMAN"
"905","PPARD","PPARD_HUMAN"
"906","CCDC28A","CC28A_HUMAN"
"674.2","IQCE","IQCE_HUMAN"
"101.3","CCM2","CCM2_HUMAN"
"104.4","FKBP6","FKBP6_HUMAN"
"105.1","GTF2I","GTF2I_HUMAN"
"907","DNAJB6","DNJB6_HUMAN"
"908","NPM2","NPM2_HUMAN"
"909","BNIP3L","BNI3L_HUMAN"
"910","IDNK","GNTK_HUMAN"
"911","TMOD1","TMOD1_HUMAN"
"364.2","COL4A5","CO4A5_HUMAN"
"124.1","ATP6AP1","VAS1_HUMAN"
"125.1","TXLNGY","TXNG2_HUMAN"
"215.1","B4GALT2","B4GT2_HUMAN"
"889.1","CDC7","CDC7_HUMAN"
"812.1","SLC22A15","S22AF_HUMAN"
"813.1","NBPF20","NBPFK_HUMAN"
"436.1","GPR137B","G137B_HUMAN"
"912","RAB18","RAB18_HUMAN"
"913","WAC","WAC_HUMAN"
"914","MADD","MADD_HUMAN"
"915","NADSYN1","NADE_HUMAN"
"459.1","RAP1B","RAP1B_HUMAN"
"823.1","FBXW8","FBXW8_HUMAN"
"296.1","UBAC2","UBAC2_HUMAN"
"651.1","RAB8B","RAB8B_HUMAN"
"589.1","CORO2B","COR2B_HUMAN"
"916","OTOA","OTOAN_HUMAN"
"917","NFATC3","NFAC3_HUMAN"
"918","NAGLU","ANAG_HUMAN"
"163.3","MAP3K10","M3K10_HUMAN"
"919","ZNF226","ZN226_HUMAN"
"920","MTA3","MTA3_HUMAN"
"921","CFAP36","CFA36_HUMAN"
"922","CHODL","CHODL_HUMAN"
"923","TRNT1","TRNT1_HUMAN"
"924","P4HTM","P4HTM_HUMAN"
"524.1","TRPC1","TRPC1_HUMAN"
"786.2","SERPINI1","NEUS_HUMAN"
"925","PALLD","PALLD_HUMAN"
"926","CLCN3","CLCN3_HUMAN"
"927","ZNF451","ZN451_HUMAN"
"352.2","RABGEF1","RABX5_HUMAN"
"104.5","FKBP6","FKBP6_HUMAN"
"564.1","TUSC3","TUSC3_HUMAN"
"873.1","GLIPR2","GAPR1_HUMAN"
"116.4","CERCAM","GT253_HUMAN"
"928","XK","XK_HUMAN"
"929","CCDC18","CCD18_HUMAN"
"930","STAM","STAM1_HUMAN"
"931","MSRB2","MSRB2_HUMAN"
"932","MICAL2","MICA2_HUMAN"
"933","ASIC1","ASIC1_HUMAN"
"934","LARP4","LARP4_HUMAN"
"935","ERP29","ERP29_HUMAN"
"936","DAAM1","DAAM1_HUMAN"
"230.1","UNC79","UNC79_HUMAN"
"937","NUP93","NUP93_HUMAN"
"938","PDP2","PDP2_HUMAN"
"662.1","PPARA","PPARA_HUMAN"
"939","KLF3","KLF3_HUMAN"
"940","SMARCA5","SMCA5_HUMAN"
"941","NPY5R","NPY5R_HUMAN"
"942","ITPR3","ITPR3_HUMAN"
"563.1","AHCYL2","SAHH3_HUMAN"
"695.1","MRRF","RRFM_HUMAN"
"116.5","CERCAM","GT253_HUMAN"
"364.3","COL4A5","CO4A5_HUMAN"
"943","FNIP2","FNIP2_HUMAN"
"119.1","UBA1","UBA1_HUMAN"
"944","PAPSS2","PAPS2_HUMAN"
"945","USP47","UBP47_HUMAN"
"454.1","OAF","OAF_HUMAN"
"946","WDR66","CF251_HUMAN"
"706.1","ZNF268","ZN268_HUMAN"
"473.1","TTLL5","TTLL5_HUMAN"
"853.1","UBXN4","UBXN4_HUMAN"
"947","WDR75","WDR75_HUMAN"
"322.1","MANBAL","MANBL_HUMAN"
"861.1","SFI1","SFI1_HUMAN"
"948","SNX24","SNX24_HUMAN"
"949","GALNT10","GLT10_HUMAN"
"950","FTSJ1","TRM7_HUMAN"
"951","NHSL2","NHSL2_HUMAN"
"270.1","AK5","KAD5_HUMAN"
"952","PSTK","PSTK_HUMAN"
"407.2","SPATS2","SPAS2_HUMAN"
"953","LACC1","LACC1_HUMAN"
"954","EIF2AK4","E2AK4_HUMAN"
"955","CHP1","CHP1_HUMAN"
"956","LRRC28","LRC28_HUMAN"
"957","GNAO1","GNAO_HUMAN"
"958","ARHGAP44","RHG44_HUMAN"
"311.2","WIPF2","WIPF2_HUMAN"
"959","CALCOCO2","CACO2_HUMAN"
"960","FAM32A","FA32A_HUMAN"
"961","ZNF431","ZN431_HUMAN"
"962","SCN1B","SCN1B_HUMAN"
"963","LPIN1","LPIN1_HUMAN"
